,pnl
2025-01-06,8.790614300407238
2025-01-07,12.091180009818189
2025-01-08,10.629575593869792
2025-01-09,10.36298298419452
2025-01-10,9.539957931004771
2025-01-13,12.05345541411975
2025-01-14,11.769124516978911
2025-01-15,18.976434650122584
2025-01-16,8.369191605144358
2025-01-17,8.799582157230008
2025-01-20,9.802779597772055
2025-01-21,10.642098151955164
2025-01-22,9.723843840737002
2025-01-23,10.05605561103892
2025-01-24,10.394938482593362
2025-01-27,8.74604303066905
2025-01-28,9.14219724978831
2025-01-29,9.271898000358862
2025-01-30,13.164882340227457
2025-01-31,8.351718767026744
